Age,Income,Gender,Race,Customer_Satisfaction,Loan_Approval,Marital_Status,Education_Level,Job_Title,Residence_Type,Number_of_Children,Health_Rating,Travel_Frequency,Vehicle_Ownership,Internet_Usage_Hours,Phone_Usage_Hours,Shopping_Frequency,Dietary_Preferences,Political_Orientation,Credit_Score
63,76138,Male,Black,1,1,Single,PhD,Manager,Urban,4,9,Rarely,1,8,1,Daily,Vegetarian,Center,424
33,96125,Female,White,5,1,Divorced,PhD,Engineer,Suburban,3,4,Never,0,9,0,Daily,Vegan,Right,340
31,33918,Male,Black,1,1,Married,Bachelor,Engineer,Rural,0,7,Often,1,2,3,Daily,Vegetarian,Left,553
29,47446,Non-binary,Other,3,1,Widowed,Master,Artist,Rural,0,2,Always,0,0,1,Never,Non-Vegetarian,Left,306
68,33046,Male,White,5,1,Divorced,Master,Manager,Suburban,4,6,Never,1,4,4,Daily,Vegan,Left,770
40,44818,Female,Hispanic,3,1,Married,PhD,Artist,Urban,3,8,Often,0,2,2,Weekly,Vegetarian,Right,810
32,24324,Female,Asian,5,1,Single,PhD,Doctor,Suburban,3,7,Always,1,5,0,Weekly,Vegan,Right,368
45,96323,Male,Black,3,0,Married,Master,Artist,Suburban,1,7,Often,1,7,2,Monthly,Non-Vegetarian,Center,380
51,29111,Male,White,2,1,Single,Master,Clerk,Suburban,2,8,Never,0,3,3,Daily,Vegetarian,Center,841
19,58110,Male,Other,3,0,Married,Bachelor,Artist,Rural,4,7,Never,0,4,1,Daily,Vegan,Left,561
49,36389,Male,White,2,1,Divorced,High School,Engineer,Urban,2,5,Never,0,4,1,Rarely,Vegan,Right,388
40,61427,Female,Other,3,1,Single,PhD,Doctor,Urban,2,7,Rarely,1,3,4,Never,Non-Vegetarian,Right,507
39,99579,Male,Hispanic,5,0,Divorced,Master,Clerk,Suburban,4,3,Often,1,3,1,Monthly,Non-Vegetarian,Left,512
68,48746,Male,Asian,5,1,Divorced,PhD,Artist,Rural,3,5,Rarely,1,3,0,Daily,Vegetarian,Left,565
42,20117,Male,Hispanic,5,1,Single,PhD,Doctor,Suburban,4,7,Never,1,3,3,Rarely,Vegan,Center,592
39,33234,Female,Black,4,1,Single,Master,Doctor,Rural,2,9,Always,1,3,2,Never,Vegan,Center,506
39,73441,Male,White,1,1,Widowed,Bachelor,Clerk,Rural,3,2,Often,0,4,3,Monthly,Non-Vegetarian,Center,632
66,20846,Male,Other,5,1,Widowed,PhD,Artist,Rural,0,4,Rarely,0,1,1,Monthly,Non-Vegetarian,Left,376
69,30954,Male,Other,2,0,Widowed,Bachelor,Doctor,Rural,4,7,Often,1,1,2,Daily,Vegetarian,Left,587
59,99239,Male,White,5,1,Divorced,Master,Doctor,Urban,4,1,Always,0,8,4,Monthly,Vegan,Center,346
23,66514,Female,White,4,0,Divorced,High School,Manager,Rural,3,2,Rarely,0,1,3,Rarely,Vegan,Center,499
32,26469,Male,Black,2,1,Widowed,High School,Doctor,Rural,0,9,Never,0,5,2,Monthly,Vegetarian,Right,726
60,50105,Male,Hispanic,4,0,Divorced,PhD,Manager,Suburban,0,7,Rarely,0,1,2,Weekly,Vegetarian,Right,509
54,62101,Female,Other,2,1,Divorced,Master,Artist,Suburban,3,7,Often,1,4,2,Rarely,Non-Vegetarian,Center,719
50,84323,Female,Black,3,1,Single,Bachelor,Artist,Urban,1,6,Often,0,3,0,Never,Non-Vegetarian,Center,453
25,78067,Male,Hispanic,1,0,Single,PhD,Artist,Suburban,4,3,Often,1,6,3,Never,Vegetarian,Right,821
61,69376,Female,Black,1,1,Divorced,Master,Engineer,Rural,4,3,Often,0,6,2,Daily,Vegetarian,Center,714
61,65587,Non-binary,Other,4,1,Widowed,Master,Artist,Suburban,2,2,Never,0,5,3,Daily,Vegan,Right,652
22,56976,Male,White,1,1,Married,Bachelor,Doctor,Urban,3,6,Rarely,0,9,2,Weekly,Vegetarian,Right,456
56,87584,Female,White,4,1,Widowed,PhD,Clerk,Suburban,2,4,Never,1,4,4,Never,Vegetarian,Right,560
21,98477,Female,Hispanic,4,1,Married,Master,Manager,Suburban,2,5,Never,1,0,4,Never,Vegan,Left,376
23,62533,Female,Asian,4,1,Widowed,Master,Engineer,Urban,0,3,Never,1,2,4,Never,Vegetarian,Left,787
62,21828,Male,Hispanic,1,0,Single,Master,Artist,Urban,4,6,Often,1,8,1,Never,Non-Vegetarian,Center,430
49,21917,Male,Asian,4,0,Divorced,Bachelor,Artist,Rural,2,3,Often,1,0,2,Monthly,Non-Vegetarian,Right,754
69,40618,Female,Black,1,1,Divorced,PhD,Clerk,Suburban,0,8,Often,1,4,1,Rarely,Vegan,Left,462
47,52254,Non-binary,Black,4,1,Single,PhD,Clerk,Rural,3,9,Rarely,1,1,3,Rarely,Vegetarian,Center,314
64,67362,Female,Other,5,1,Married,PhD,Engineer,Suburban,2,4,Always,1,3,1,Weekly,Non-Vegetarian,Center,531
52,40128,Male,Asian,4,1,Married,PhD,Manager,Suburban,4,9,Often,0,0,3,Monthly,Non-Vegetarian,Center,494
57,79383,Female,Other,2,1,Married,High School,Artist,Rural,2,7,Rarely,1,2,3,Never,Non-Vegetarian,Center,841
69,85545,Female,White,4,1,Single,High School,Engineer,Suburban,3,3,Often,1,9,3,Never,Non-Vegetarian,Center,658
33,29865,Male,Asian,3,1,Married,PhD,Doctor,Suburban,2,7,Often,1,6,1,Daily,Vegetarian,Right,630
30,22219,Male,Hispanic,4,1,Single,Bachelor,Doctor,Suburban,4,1,Never,0,9,2,Daily,Vegetarian,Center,726
67,59809,Female,White,2,1,Widowed,High School,Engineer,Urban,0,3,Never,1,2,1,Weekly,Vegetarian,Right,796
59,25287,Male,White,2,1,Widowed,Master,Artist,Rural,4,6,Never,1,3,2,Never,Vegetarian,Left,785
47,54387,Female,Hispanic,1,1,Single,High School,Engineer,Urban,0,4,Rarely,0,1,2,Weekly,Non-Vegetarian,Center,748
36,28512,Male,White,5,1,Divorced,Master,Artist,Rural,1,7,Always,1,2,3,Monthly,Vegan,Left,712
34,21342,Male,Asian,4,0,Widowed,PhD,Clerk,Rural,4,3,Always,0,8,1,Rarely,Vegan,Right,629
36,83076,Male,Other,1,0,Married,High School,Engineer,Suburban,4,1,Rarely,0,2,2,Never,Non-Vegetarian,Right,446
45,39216,Female,White,5,1,Single,Bachelor,Artist,Rural,3,9,Often,0,4,4,Monthly,Non-Vegetarian,Left,558
43,99767,Non-binary,Asian,4,1,Married,High School,Engineer,Urban,2,6,Rarely,0,1,2,Never,Vegan,Center,591
54,46614,Male,Black,3,1,Married,High School,Engineer,Urban,0,8,Often,1,3,4,Daily,Vegan,Center,442
43,56258,Female,Asian,4,1,Divorced,High School,Artist,Urban,0,3,Rarely,0,6,1,Weekly,Non-Vegetarian,Left,664
40,62078,Female,Other,2,0,Married,PhD,Artist,Rural,3,8,Rarely,0,6,1,Daily,Non-Vegetarian,Left,389
26,32219,Female,Asian,2,1,Divorced,Bachelor,Manager,Urban,3,2,Rarely,0,2,1,Rarely,Vegetarian,Left,463
29,20235,Male,Hispanic,3,1,Widowed,High School,Engineer,Rural,2,4,Always,0,4,2,Daily,Vegetarian,Center,780
18,62929,Female,Other,1,1,Single,Bachelor,Doctor,Urban,2,3,Never,0,0,0,Never,Vegan,Center,383
18,87444,Female,Black,5,1,Married,PhD,Engineer,Urban,4,1,Rarely,1,9,2,Daily,Non-Vegetarian,Center,376
64,28567,Male,Hispanic,4,1,Single,Master,Engineer,Rural,1,7,Always,0,9,2,Never,Vegan,Left,816
51,90792,Male,Asian,2,0,Married,High School,Artist,Urban,2,2,Never,1,9,3,Rarely,Vegetarian,Center,784
49,85441,Female,Other,1,1,Single,Bachelor,Engineer,Suburban,3,4,Never,1,0,3,Daily,Vegetarian,Right,403
65,93698,Non-binary,Black,3,1,Married,Bachelor,Engineer,Rural,2,9,Rarely,0,4,2,Weekly,Vegan,Left,751
42,25415,Male,Hispanic,2,1,Married,PhD,Doctor,Rural,0,6,Often,1,9,4,Weekly,Vegetarian,Center,786
57,56159,Female,Black,3,1,Married,High School,Artist,Rural,1,8,Often,0,8,3,Weekly,Non-Vegetarian,Left,638
62,63925,Non-binary,Asian,4,0,Married,Master,Engineer,Suburban,4,2,Often,0,0,2,Daily,Vegan,Right,777
18,25951,Female,Black,5,0,Married,Bachelor,Clerk,Rural,0,7,Rarely,0,0,0,Daily,Non-Vegetarian,Right,522
